Year,hts8,brief_description,mfn_text_rate,mfn_ad_val_rate,Matched Expenditure category
2024,2089091,other meat and edible meat offal not elsewhere specified or included fresh chilled or frozen,6.4%,0.064,"Meats, poultry, and fish"
2024,2091000,pig fat free of lean meat  fresh chilled frozen salted in brine dried or smoked,3.2%,0.032,"Meats, poultry, and fish"
2024,2099000,poultry fat not rendered or otherwise extracted fresh chilled frozen salted in brine dried or smoked,3.2%,0.032,fresh and frozen chicken parts57
2024,2109100,meat and edible offal of primates salted in brine dried or smoked edible flours and meals thereof,2.3%,0.023,"Meats, poultry, and fish"
2024,2109201,meat edible offal  meals of whalesdolphinsporpoisesmanateesdugongsseals sea lions walrusessaltedin brinedried or smoked,2.3%,0.023,"Meats, poultry, and fish"
2024,2109300,meat and edible offal of reptiles salted in brine dried or smoked edible flours and meals thereof,2.3%,0.023,"Meats, poultry, and fish"
2024,2109920,meat and edible offal of poultry of heading 0105 in brine dried or smoked edible flours and meals thereof,2.3%,0.023,"Meats, poultry, and fish"
2024,2109991,meat and edible offal not elsewhere specified or included salted in brine dried or smoked edible flours and meals thereof,2.3%,0.023,"Meats, poultry, and fish"
2024,3024511,jack  horse mackerel excl fillets livers  roes fresh or chilled scaled in immediate containers weighing with their contents 68 kg,3%,0.03,Pets and pet products(4)
2024,3024611,cobia excl fillets livers and roes fresh or chilled scaled in immediate containers weighing with their contents 68 kg or less,3%,0.03,Pets and pet products(4)
2024,3025411,hake excl fillets livers and roes fresh or chilled scaled in immediate containers weighing with their contents 68 kg or less,3%,0.03,Pets and pet products(4)
2024,3025511,alaska pollack excl fillets liversroes fresh or chilled scaled in immediate containers weighing with their contents 68 kg,3%,0.03,Pets and pet products(4)
2024,3025611,blue whitings excl fillets livers  roes fresh or chilled scaled in immediate containers weighing with their contents 68 kg,3%,0.03,Pets and pet products(4)
2024,3025911,bregmacerotidae et al fish nesoi excl fillets livers and roes fresh or chilled scaled in immediate containers weighing  68 kg,3%,0.03,Pets and pet products(4)
2024,3027111,tilapias excl fillets livers and roes fresh or chilled scaled in immediate containers weighing with their contents 68 kg,3%,0.03,Pets and pet products(4)
2024,3027211,catfish excl fillets livers and roes fresh or chilled scaled in immediate containers weighing with their contents 68 kg or less,3%,0.03,Pets and pet products(4)
2024,3027311,carp excl fillets livers and roes fresh or chilled scaled in immediate containers weighing with their contents 68 kg or less,3%,0.03,Pets and pet products(4)
2024,3027911,fish beginning  03027 nesoi excl fillets livers and roes fresh or chilled scaled in immediate containers  68 kg,3%,0.03,Pets and pet products(4)
2024,3028411,seabass excl fillets livers and roes fresh or chilled scaled in immediate containers weighing with their contents 68 kg or less,3%,0.03,Pets and pet products(4)
2024,3028511,seabream excl fillets livers and roes fresh or chilled scaled in immediate containers weighing with their contents 68 kg or less,3%,0.03,Pets and pet products(4)
2024,3028911,fish nesoi excl fillets livers and roes fresh or chilled scaled in immediate containers weighing with their contents 68 kg or less,3%,0.03,Pets and pet products(4)
2024,3029120,sturgeon roe fresh or chilled,15%,0.15,fresh fish and seafood45
2024,3039120,sturgeon roe frozen,15%,0.15,frozen fish and seafood7
2024,3049190,chilled or frozen swordfish fillets nesoi,6%,0.06,frozen fish and seafood7
2024,3049290,chilled or frozen toothfish fillets nesoi,6%,0.06,frozen fish and seafood7
2024,3049390,tilapias  catfish carp eels nile perch  snakehead chilled or frozen fillets nesoi,6%,0.06,frozen fish and seafood7
2024,3049590,bregamacerotidae other fish other than alaska pollack nesoi  chilled or frozen fillets nesoi,6%,0.06,frozen fish and seafood6
2024,3049600,dogfish and other sharks frozen nesoi,6%,0.06,frozen fish and seafood6
2024,3049991,chilled or frozen fillets nesoi,6%,0.06,frozen and freeze dried prepared foods4
2024,3056450,tilapias catfish carp eel nile perch or snakehead in brine or salted but not dried or smoked other than in containers 68 kg,0.5%,0.005,fresh fish and seafood45
2024,3056940,salmon in brine or salted but not dried or smoked,3%,0.03,fresh fish and seafood45
2024,3056960,fish nesoi in brine or salted but not dried or smoked other than in immediate containers weighing with their contents 68 kg or less each,0.5%,0.005,fresh fish and seafood45
2024,3061420,crabmeat frozen,7.5%,0.075,"Meats, poultry, and fish"
2024,3063320,crabmeat fresh or chilled,7.5%,0.075,"Meats, poultry, and fish"
2024,3069320,crabmeat nesoi,7.5%,0.075,"Meats, poultry, and fish"
2024,3076000,snails other than sea snails whether in shell or not live fresh chilled frozen dried salted or in brine,5%,0.05,Pets and pet products(4)
2024,4022905,milk  cream concen sweetened in powder granules or other solid forms wfat content o15% subject to gen note 15,17.5%,0.175,Dairy and related products
2024,4022910,milk  cream concen sweetened in powder granules or other solid forms wfat content o15% subject to add us note 10 to ch4,17.5%,0.175,Dairy and related products
2024,4029968,milk  cream except condensed milk concentrated in nonsolid forms sweetened subject to gen note 15 of the hts,17.5%,0.175,Dairy and related products
2024,4029970,milk  cream except condensed milk concentrated in nonsolid forms sweetened subject to add us note 10 to ch 4,17.5%,0.175,Dairy and related products
2024,4032090,yogurt not in dry form whether or not flavored or containing add sugar fruit or cocoa,17%,0.17,sugar and artificial sweeteners
2024,4039085,fermented milk othan dried fermented milk or othan dried milk with added lactic ferments,17%,0.17,Dairy and related products
2024,4039087,curdled milkcreamkephir  other fermentd or acid milkcream descrin gen note 15,20%,0.2,Dairy and related products
2024,4039090,curdled milkcreamkephir  other fermentd or acid milkcream subject to add us note 10 to ch4,20%,0.2,Dairy and related products
2024,4049028,dairy products of nat milk constituents except protein conc descr in add us nte 1 to ch 4 and subj to gn 15,14.5%,0.145,Dairy and related products
2024,4049030,dairy products of nat milk constituents except protein conc descr in add us nte 1 to ch 4 and sub to ch4 us note 10,14.5%,0.145,Dairy and related products
2024,4049070,products consisting of natural milk constituents except protein conc whether or not sweetened not descr in add us note 1 to ch 4,8.5%,0.085,Dairy and related products
2024,4052050,other dairy spreads of a type provided in chapter 4 additional us note 1 subject to general note 15 outside quota,10%,0.1,other dairy and related products45
2024,4052060,other dairy spreads of a type provided in ch 4 add us note 1 subject to quota pursuant to chapter 4 additional us note 10,10%,0.1,other dairy and related products45
2024,4052080,other dairy spreads not butter substitutes or of a type provided for in chapter 4 additional us note 1,6.4%,0.064,other dairy and related products56
2024,4059005,fats and oils derived from milk other than butter or dairy spreads subject to general note 15 outside quota,10%,0.1,Dairy and related products
2024,4059010,fats and oils derived from milk other than butter or dairy spreads subject to quota pursuant to chapter 4 additional us note 14,10%,0.1,Dairy and related products
2024,4061002,chongos unripened or uncured cheese including whey cheese and curd subject to gen note 15 of the hts,10%,0.1,Dairy and related products
2024,4061004,chongos unripened or uncured cheese including whey cheese and curd subject to add us note 16 to ch 4,10%,0.1,Dairy and related products
2024,4061012,fresh unripeneduncured cheese ex chongos incl whey cheese and curd subj to gen note 15 of the hts not gn15,10%,0.1,Dairy and related products
2024,4061014,fresh unripeneduncured bluemold cheese cheesesubs for cheese cont or procd fr bluemold cheese subj to ch4 us note 17 not gn15,10%,0.1,"Tools, hardware and supplies(5)"
2024,4061024,fresh unripeneduncured cheddar cheese cheesesubs for cheese cont or proc from cheddar cheese subj to ch 4 us note 18 not gn15,10%,0.1,Dairy and related products
2024,4061034,fresh unripeneduncured americantype cheese cheese cont or proc fr americantype subj to add us note 19 to ch4 not gn15,10%,0.1,Dairy and related products
2024,4061044,fresh unripeneduncured edam and gouda cheeses cheesesubs for cheese cont or processed therefrom subj to ch4 us note 20 not gn15,10%,0.1,Dairy and related products
2024,4061054,fresh unripeneduncured italiantype cheeses from cow milk cheesesubstitutes cont or proc therefrom subj to ch4 us nte 21 not gn15,10%,0.1,Dairy and related products
2024,4061064,fresh unripuncured swissemmentaler cheeses wo eyes gruyereprocess and cheese contproc from subj to ch4 us note 22 not gn15,10%,0.1,Dairy and related products
2024,4061074,fresh cheese and substitutes for cheeseneosi w05% or less by wt of butterfat descr in add us note 23 to ch 4 not gn15,10%,0.1,Dairy and related products
2024,4061084,fresh cheese and substitutes for cheese cont cows milk neosi o05% by wt of butterfat descr in add us note 16 to ch 4 not gn15,10%,0.1,Dairy and related products
2024,4061095,fresh cheese and substitutes for cheese not cont cows milk neosi o05% by wt of butterfat,8.5%,0.085,Dairy and related products
2024,4062010,roquefort cheese grated or powdered,8%,0.08,Dairy and related products
2024,4062015,stilton cheese grated or powdered subject to add us note 24 to ch 4,17%,0.17,Dairy and related products
2024,4062022,blueveined cheese except roquefort or stilton grated or powdered subject to gen note 15 of the hts,20%,0.2,Dairy and related products
2024,4062024,blueveined cheese except roquefort or stilton grated or powdered subject to add us note 17 to ch4,20%,0.2,Dairy and related products
2024,4062029,cheddar cheese grated or powdered subject to gen note 15 of the hts,16%,0.16,Dairy and related products
2024,4062031,cheddar cheese grated or powdered subject to add us note 18 to ch 4,16%,0.16,Dairy and related products
2024,4062034,colby cheese grated or powdered subject to gen note 15 of the hts,20%,0.2,Dairy and related products
2024,4062036,colby cheese grated or powdered subject to add us note 19 to ch 4,20%,0.2,Dairy and related products
2024,4062043,edam and gouda cheese grated or powdered subject to gen note 15 of the hts,15%,0.15,Dairy and related products
2024,4062044,edam and gouda cheese grated or powdered subject to add us note 20 to ch 4,15%,0.15,Dairy and related products
2024,4062049,romano cows milk reggiano provolone provoletti sbrinz and goya grated or powdered subject to gen note 15 to hts,15%,0.15,Dairy and related products
2024,4062051,romano reggiano provolone provoletti sbrinz and goya made from cows milk grated or powdered subject to add us note 21 to ch4,15%,0.15,Dairy and related products
2024,4062054,reggiano provolone provoletti sbrinz and goya cheeses not made from cows milk grated or powdered,9.6%,0.096,Dairy and related products
2024,4062055,cheeses made from sheeps milk including mixtures of such cheeses grated or powdered,9.6%,0.096,Dairy and related products
2024,4062056,cheese including mixtures nesoi grated or powdered subject to gen note 15 of the hts,10%,0.1,Dairy and related products
2024,4062057,cheese containing or processed from bryndza gjetost gammelost nokkelost or roquefort cheeses grated or powdered,8.5%,0.085,Dairy and related products
2024,4062061,cheese containing or processed from blueveined cheese except roquefort gratedpowdered subject to add us note 17 to ch4,10%,0.1,Dairy and related products
2024,4062065,cheese containing or processed from cheddar cheese grated or powdered subject to add us note 18 to ch 4,10%,0.1,Dairy and related products
2024,4062069,cheese containing or processed from americantype cheese except cheddar grated or powdered subject to add us note 19 to ch 4,10%,0.1,Dairy and related products
2024,4062073,cheese containing or processed from edam or gouda cheeses grated or powdered subject to add us note 20 to ch4,10%,0.1,Dairy and related products
2024,4062077,cheese containing or processed from italiantype cheeses made from cows milk grated or powdered subject to add us note 21 to ch 4,10%,0.1,Dairy and related products
2024,4062081,cheese containing or processed from swiss emmentaler or gruyereprocess cheeses grated or powdered subject to add us nte 22 to ch4,10%,0.1,Dairy and related products
2024,4062085,cheese including mixtures nesoi no 05% by wt of butterfat grated or powdered subject to add us note 23 to ch 4,10%,0.1,Dairy and related products
2024,4062089,cheese including mixtures nesoi o05% by wt of butterfat wcows milk grated or powdered subject to add us note 16 to ch 4,10%,0.1,Dairy and related products
2024,4062095,cheese including mixtures nesoi o05% by wt of butterfat not containing cows milk grated or powdered,8.5%,0.085,Dairy and related products
2024,4063005,stilton cheese processed not grated or powdered subject to add us note 24 to ch 4,17%,0.17,Dairy and related products
2024,4063012,blueveined cheese except roquefort processed not grated or powdered subject to gen note 15 of the hts,20%,0.2,Dairy and related products
2024,4063014,blueveined cheese except roquefort processed not grated or powdered subject to add us note 17 to ch 4,20%,0.2,Dairy and related products
2024,4063022,cheddar cheese processed not grated or powdered subject to gen note 15 of the hts,16%,0.16,Dairy and related products
2024,4063024,cheddar cheese processed not grated or powdered subject to add us note 18 to ch 4,16%,0.16,Dairy and related products
2024,4063032,colby cheese processed not grated or powdered subject to gen note 15 of the hts,20%,0.2,Dairy and related products
2024,4063034,colby cheese processed not grated or powdered subject to add us note 19 to ch 4,20%,0.2,Dairy and related products
2024,4063042,edam and gouda cheese processed not grated or powdered subject to gen note 15 of the hts,15%,0.15,Dairy and related products
2024,4063044,edam and gouda cheese processed not grated or powdered subject to add us note 20 to ch 4,15%,0.15,Dairy and related products
2024,4063049,gruyereprocess cheese processed not grated or powdered subject to gen note 15 of the hts,6.4%,0.064,Dairy and related products
2024,4063051,gruyereprocess cheese processed not grated or powdered subject to add us note 22 to ch 4,6.4%,0.064,Dairy and related products
2024,4063055,processed cheeses made from sheeps milk including mixtures of such cheeses not grated or powdered,9.6%,0.096,Dairy and related products
2024,4063056,cheese including mixtures nesoi processed not grated or powdered subject to gen note 15 of the hts,10%,0.1,Dairy and related products
2024,4063057,processed cheese containing or processed from bryndza gjetost gammelost nokkelost or roquefort not grated or powdered not gn15,8.5%,0.085,Dairy and related products
2024,4063061,processed cheese contprocd fr blueveined cheese ex roquefort not gratedpowdered subject to add us note 17 to ch 4 not gn15,10%,0.1,Dairy and related products
2024,4063065,processed cheese contprocd fr cheddar cheese not gratedpowdered subject to add us note 18 not gn15,10%,0.1,Dairy and related products
2024,4063069,processed cheese contprocd fr americantype cheese ex cheddar not gratedpowdered subject to add us note 19 to ch 4 not gn15,10%,0.1,Dairy and related products
2024,4063073,processed cheese contprocd fr edam or gouda not gratedpowdered subject to add us note 20 to ch 4 not gn15,10%,0.1,Dairy and related products
2024,4063077,processed cheese contprocd from italiantype not gratedpowdered subject to add us note 21 to ch 4 not gn15,10%,0.1,Dairy and related products
2024,4063081,processed cheese contprocd from swiss emmentaler or gruyereprocess ngratedpowdered subject to add us note 22 to ch 4 not gn15,10%,0.1,Dairy and related products
2024,4063085,processed cheese incl mixtures nesoi no 05% by wt butterfat not grated or powdered subject to ch4 us note 23 not gn15,10%,0.1,Dairy and related products
2024,4063089,processed cheese incl mixtures nesoi wcows milk not grated or powdered subject to add us note 16 to ch 4 not gn15,10%,0.1,Dairy and related products
2024,4063095,processed cheese incl mixtures nesoi wo cows milk not grated or powdered not gn15,8.5%,0.085,Dairy and related products
2024,4064020,roquefort cheese in original loaves not grated or powdered not processed,2.7%,0.027,Dairy and related products
2024,4064040,roquefort cheese other than in original loaves not grated or powdered not processed,4.5%,0.045,Dairy and related products
2024,4064044,stilton cheese nesoi in original loaves subject to add us note 24 to ch 4,12.8%,0.128,Dairy and related products
2024,4064048,stilton cheese nesoi not in original loaves subject to add us note 24 to ch 4,17%,0.17,Dairy and related products
2024,4064051,blueveined cheese nesoi in original loaves subject to gen note 15 of the hts,15%,0.15,Dairy and related products
2024,4064052,blueveined cheese nesoi not in original loaves subject to gen note 15 of the hts,20%,0.2,Dairy and related products
2024,4064054,blueveined cheese nesoi in original loaves subject to add us note 17 to ch 4,15%,0.15,Dairy and related products
2024,4064058,blueveined cheese nesoi not in original loaves subject to add us note 17 to ch 4,20%,0.2,Dairy and related products
2024,4069005,bryndza cheese not grated or powdered not processed,7.2%,0.072,Dairy and related products
2024,4069006,cheddar cheese neosi subject to gen note 15 of the  entered pursuant to its provisions,12%,0.12,Dairy and related products
2024,4069008,cheddar cheese neosi subject to add us note 18 to ch 4,12%,0.12,Dairy and related products
2024,4069014,edam and gouda cheese nesoi subject to gen note 15 of the hts,15%,0.15,Dairy and related products
2024,4069016,edam and gouda cheese nesoi subject to add us note 20 to ch 4,15%,0.15,Dairy and related products
2024,4069020,gjetost cheese from goats milk whey or whey obtained from a mixture of goats  no 20% cows milk not grated powdered or processed,4.2%,0.042,Dairy and related products
2024,4069025,gjetost cheese made from goats milk whey or whey obtained from a mixture of goats  no 20% cows milk not grated powdered or processed,8.5%,0.085,Dairy and related products
2024,4069028,goya cheese nesoi subject to gen note 15 of the hts,25%,0.25,Dairy and related products
2024,4069031,goya cheese from cows milk not in original loaves nesoisubject to add us note 21 to ch 4,25%,0.25,Dairy and related products
2024,4069033,goya cheese not from cows milk nesoi not subject to gen note 15 or to add us note 21 to ch 4,21.3%,0.213,Dairy and related products
2024,4069034,sbrinz cheese nesoi subject to gen note 15 of the hts,19%,0.19,Dairy and related products
2024,4069036,sbrinz cheese from cows milk nesoi subject to add us note 21 to ch 4,19%,0.19,Dairy and related products
2024,4069038,sbrinz cheese not from cows milk nesoi not subject to gen note 15 or to add us note 21 to ch 4,12.2%,0.122,Dairy and related products
2024,4069039,romano from cows milk reggiano parmesan provolone and provoletti cheese nesoi subject to gen note 15 of the hts,15%,0.15,Dairy and related products
2024,4069041,romano reggiano parmesan provolone and provoletti cheese nesoi from cows milk subject to add us note 21 to ch 4,15%,0.15,Dairy and related products
2024,4069043,reggiano parmesan provolone and provoletti cheese nesoi not from cows milk not subject to gen note 15,9.6%,0.096,Dairy and related products
2024,4069044,swiss or emmentaler cheese with eye formation nesoi subject to gen note 15 of the hts,6.4%,0.064,Dairy and related products
2024,4069046,swiss or emmentaler cheese with eye formation nesoi subject to add us note 25 to ch 4,6.4%,0.064,Dairy and related products
2024,4069049,gammelost and nokkelost cheese nesoi,5.4%,0.054,Dairy and related products
2024,4069051,colby cheese nesoi subject to gen note 15 of the hts and entered pursuant to its provisions,20%,0.2,Dairy and related products
2024,4069052,colby cheese nesoi subject to add us note 19 to ch 4 and entered pursuant to its provisions,20%,0.2,Dairy and related products
2024,4069059,cheeses substitute for cheese including mixtures of cheeses nesoi made from sheeps milk,9.6%,0.096,Dairy and related products
2024,4069061,cheeses  substitutes for cheese inclmixtures wromanoreggianoparmesanprovoloneetc from cows milk subj to gen note 15,7.5%,0.075,Dairy and related products
2024,4069063,cheeses  substitutes for cheese inclmixtures not contromanoreggianoparmesanprovoloneetc from cows milk subj to gen note 15,10%,0.1,Dairy and related products
2024,4069066,cheeses  subst for cheeseincl mixt nesoi wromanoreggianoparmesanprovoloneetc fcow milk subj ch4 us note 21 not gn15,7.5%,0.075,Dairy and related products
2024,4069072,cheeses  subst for cheese incl mixt nesoi w or from blueveined cheese subj to add us note 17 to ch4 not gn15,10%,0.1,Dairy and related products
2024,4069076,cheeses  subst for cheese incl mixt nesoi w or from cheddar cheese subj to add us note 18 to ch4 not gn15,10%,0.1,Dairy and related products
2024,4069082,cheeses  subst for cheese incl mixt nesoi w or from am cheese except cheddar subj to add us note 19 to ch4 not gn15,10%,0.1,Dairy and related products
2024,4069086,cheeses  subst for cheese incl mixt nesoi w or from edam or gouda cheese subj to add us note 20 to ch4 not gn15,10%,0.1,Dairy and related products
2024,4069090,cheeses  subst for cheese incl mixt nesoi w or from swiss emmentaler or gruyere subj to add us note 22 to ch4 not gn15,10%,0.1,Dairy and related products
2024,4069093,cheeses  subst for cheese incl mixt nesoi wbutterfat no 05% by wt subject to add us note 23 to ch 4 not gn15,10%,0.1,Dairy and related products
2024,4069095,cheeses  subst for cheese incl mixt nesoi wcows milk wbutterfat o05% by wt subject to ch 4 us note 16 quota,10%,0.1,Dairy and related products
2024,4069099,cheeses  subst for cheese incl mixt nesoi wo cows milk wbutterfat o05% by wt not gn15,8.5%,0.085,Dairy and related products
2024,6021000,unrooted cuttings and slips of live plants,4.8%,0.048,Pets and pet products(4)
2024,6029030,live herbaceous perennials other than orchid plants with soil attached to roots,1.4%,0.014,Pets and pet products(4)
2024,6029040,live herbaceous perennials other than orchid plants without soil attached to roots,3.5%,0.035,Pets and pet products(4)
2024,6029060,other live plants nesoi with soil attached to roots,1.9%,0.019,Pets and pet products(4)
2024,6029090,other live plants nesoi other than those with soil attached to roots,4.8%,0.048,Pets and pet products(4)
2024,6031270,other carnations fresh cut,6.4%,0.064,other fresh vegetables
2024,6031400,chrysanthemums fresh cut,6.4%,0.064,Pets and pet products(4)
2024,7039000,leeks and other alliaceous vegetables nesoi fresh or chilled,20%,0.2,other fresh vegetables
2024,7049040,kohlrabi kale and similar edible brassicas nesoi including sprouting broccoli fresh or chilled,20%,0.2,other fresh vegetables
2024,7061005,carrots fresh or chilled reduced in size,14.9%,0.149,fresh vegetables
2024,7069040,salsify celeriac radishes and similar edible roots nesoi fresh or chilled,10%,0.1,other fresh vegetables
2024,7092090,asparagus nesoi fresh or chilled,21.3%,0.213,frozen and freeze dried prepared foods4
2024,7099990,vegetables not elsewhere specified or included fresh or chilled,20%,0.2,other fresh vegetables
2024,7101000,potatoes uncooked or cooked by steaming or boiling in water frozen,14%,0.14,potatoes
2024,7102240,beans nesoi uncooked or cooked by steaming or boiling in water frozen reduced in size,11.2%,0.112,frozen and freeze dried prepared foods5
2024,7104000,sweet corn uncooked or cooked by steaming or boiling in water frozen,14%,0.14,frozen and freeze dried prepared foods
2024,7108065,brussels sprouts uncooked or cooked by steaming or boiling in water frozen not reduced in size,12.5%,0.125,frozen and freeze dried prepared foods4
2024,7108070,vegetables nesoi uncooked or cooked by steaming or boiling in water frozen not reduced in size,11.3%,0.113,frozen vegetables6
2024,7108085,brussels sprouts uncooked or cooked by steaming or boiling in water frozen reduced in size,14%,0.14,frozen and freeze dried prepared foods4
2024,7108097,vegetables nesoi uncooked or cooked by steaming or boiling in water frozen reduced in size,14.9%,0.149,frozen vegetables6
2024,7109091,mixtures of vegetables not elsewhere specified or included uncooked or cooked by steaming or boiling in water frozen,14%,0.14,frozen fruits and vegetables5
2024,7119065,vegetables nesoi and mixtures of vegetables provisionally preserved but unsuitable in that state for immediate consumption,7.7%,0.077,fresh vegetables
2024,7129074,tomatoes dried in powder,8.7%,0.087,tomatoes
2024,7129078,tomatoes dried whole other,8.7%,0.087,tomatoes
2024,7129085,dried vegetables nesoi and mixtures of dried vegetables whole cut sliced broken or in powder but not further prepared,8.3%,0.083,other processed fruits and vegetables including dried5
2024,7141010,cassava manioc frozen whether or not sliced or in the form of pellets,7.9%,0.079,frozen and freeze dried prepared foods4
2024,7142010,sweet potatoes frozen whether or not sliced or in the form of pellets,6%,0.06,frozen and freeze dried prepared foods4
2024,7142020,sweet potatoes fresh chilled or dried whether or not sliced or in the form of pellets,4.5%,0.045,potatoes
2024,7143020,frozen yams dioscorea spp,6%,0.06,frozen and freeze dried prepared foods4
2024,7149041,mixtures of pea pods and chineses water chestnuts frozen,7.9%,0.079,frozen fruits and vegetables5
2024,8059001,citrus fruit not elsewhere specified or included fresh or dried including kumquats citrons and bergamots,0.8%,0.008,citrus fruits5
2024,8071140,watermelons fresh if entered during the period april 1 through november 30 inclusive,17%,0.17,fresh fruits
2024,8072000,papayas papaws fresh,5.4%,0.054,fresh fruits
2024,8107000,persimmons fresh,2.2%,0.022,fresh fruits
2024,8109046,fruit not elsewhere specified or included fresh,2.2%,0.022,fresh fruits
2024,8111000,strawberries frozen in water or containing added sweetening,11.2%,0.112,frozen noncarbonated juices and drinks56
2024,8112020,raspberries loganberries black currants and gooseberries frozen in water or containing added sweetening,4.5%,0.045,frozen noncarbonated juices and drinks45
2024,8112040,blackberries mulberries and white or red currants frozen in water or containing added sweetening,9%,0.09,frozen fruits and vegetables5
2024,8119010,bananas and plantains frozen in water or containing added sweetening,3.4%,0.034,frozen fruits and vegetables5
2024,8119022,boysenberries frozen in water or containing added sweetening,11.2%,0.112,frozen fruits and vegetables5
2024,8119025,cashew apples mameyes colorados sapodillas soursops and sweetsops frozen in water or containing added sweetening,3.2%,0.032,frozen fruits and vegetables6
2024,8119040,papayas frozen in water or containing added sweetening,11.2%,0.112,frozen noncarbonated juices and drinks45
2024,8119052,mangoes frozen whether or not previously steamed or boiled,10.9%,0.109,frozen and freeze dried prepared foods4
2024,8119055,melons frozen in water or containing added sweetening,11.2%,0.112,frozen noncarbonated juices and drinks45
2024,8119080,fruit nesoi frozen whether or not previously steamed or boiled,14.5%,0.145,frozen and freeze dried prepared foods4
2024,8129010,mixtures of two or more fruits provisionally preserved but unsuitable in that state for consumption,11.2%,0.112,fresh fruits
2024,8134010,papayas dried,1.8%,0.018,other processed fruits and vegetables including dried5
2024,8134090,fruit nesoi dried other than that of headings 0801 to 0806 and excluding mixtures,2.5%,0.025,other processed fruits and vegetables including dried6
2024,8135000,mixtures of nuts or dried fruits of chapter 8,14%,0.14,other processed fruits and vegetables including dried5
2024,9109100,mixtures of spices,1.9%,0.019,spices seasonings condiments sauces
2024,9109960,spices nesoi,1.9%,0.019,salt and other seasonings and spices56
2024,10019100,seed of wheat and meslin other than durum wheat,2.8%,0.028,cereals and cereal products
2024,10089001,cereals nesoi including wild rice,1.1%,0.011,cereals and cereal products
2024,11029030,cereal flours nesoi mixed together,12.8%,0.128,flour and prepared flour mixes
2024,11029060,cereal flours other than of wheat or meslin rye corn rice or buckwheat,9%,0.09,cereals and cereal products
2024,11031990,groats and meal of cereals other than wheat oats corn maize or rice,9%,0.09,cereals and cereal products
2024,11042990,grains of cereals other than barley oats or corn hulled pearled clipped sliced kibbled or otherwise worked but not rolled or flaked,2.7%,0.027,cereals and cereal products
